date,Dosis_recibidas,Dosis_administradas
1/4/2021,0.09,0
1/5/2021,0.1,0.01
1/7/2021,0.1,0.01
1/8/2021,0.1,0.01
1/11/2021,0.1,0.02
1/12/2021,0.1,0.04
1/13/2021,0.15,0.05
1/14/2021,0.15,0.06
1/15/2021,0.15,0.08
1/18/2021,0.15,0.1
1/19/2021,0.15,0.12
1/20/2021,0.18,0.13
1/21/2021,0.18,0.14
1/22/2021,0.18,0.15
1/25/2021,0.18,0.17
1/26/2021,0.18,0.17
1/27/2021,0.23,0.17
1/28/2021,0.23,0.18
1/29/2021,0.23,0.18
2/1/2021,0.23,0.19
2/2/2021,0.23,0.2
2/3/2021,0.29,0.21
2/4/2021,0.29,0.23
2/5/2021,0.29,0.25
2/8/2021,0.29,0.27
2/9/2021,0.32,0.28
2/10/2021,0.39,0.29
2/11/2021,0.39,0.31
2/12/2021,0.39,0.32
2/15/2021,0.39,0.34
2/16/2021,0.39,0.35
2/17/2021,0.48,0.35
2/18/2021,0.48,0.36
2/19/2021,0.48,0.37
2/22/2021,0.48,0.38
2/23/2021,0.48,0.38
2/24/2021,0.61,0.39
2/25/2021,0.61,0.39
2/26/2021,0.61,0.42
3/1/2021,0.61,0.47
3/2/2021,0.61,0.51
3/3/2021,0.75,0.54
3/4/2021,0.75,0.57
3/5/2021,0.75,0.6
3/8/2021,0.75,0.64
3/9/2021,0.75,0.67
3/10/2021,0.89,0.69
3/11/2021,0.89,0.72
3/12/2021,0.74,0
3/15/2021,0.89,0.78
3/16/2021,0.89,0.79
3/17/2021,1.03,0.8
3/18/2021,1.03,0.81
3/22/2021,1.03,0.85
3/23/2021,1.03,0.86
3/24/2021,1.13,0.89
3/25/2021,1.13,0.92
3/26/2021,1.13,0.94
3/29/2021,1.13,1
3/30/2021,1.13,1.03
3/31/2021,1.28,1.06
4/1/2021,1.28,1.09
4/3/2021,1.28,1.13
4/5/2021,1.28,1.14
4/6/2021,1.59,1.19
4/7/2021,1.59,1.24
4/8/2021,1.59,1.29
4/9/2021,1.59,1.33
4/12/2021,1.59,1.42
4/13/2021,1.79,1.47
4/14/2021,1.79,1.52
4/15/2021,1.79,1.56
4/16/2021,1.81,1.61
4/19/2021,1.81,1.68
4/20/2021,1.96,1.72
4/21/2021,1.96,1.76
4/22/2021,2.03,1.81
4/23/2021,2.03,1.85
4/26/2021,2.03,1.92
4/27/2021,2.3,1.95
4/28/2021,2.3,2
4/29/2021,2.3,2.05
4/30/2021,2.32,2.1
5/3/2021,2.32,2.23
5/4/2021,2.8,2.28
5/5/2021,2.8,2.34
5/6/2021,2.8,2.41
5/7/2021,2.8,2.47
5/10/2021,2.8,2.59
5/11/2021,3.07,2.66
5/12/2021,3.07,2.72
5/13/2021,3.07,2.75
5/14/2021,3.18,2.84
5/17/2021,3.18,2.94
5/18/2021,3.42,3
5/19/2021,3.42,3.05
5/20/2021,3.42,3.11
5/21/2021,3.45,3.16
5/24/2021,3.45,3.26
