Año,Periodo,Estimación de muertes semanales
2000,Semana 1,9414
2000,Semana 2,9875
2000,Semana 3,9626
2000,Semana 4,9426
2000,Semana 5,8759
2000,Semana 6,7858
2000,Semana 7,7514
2000,Semana 8,7219
2000,Semana 9,7014
2000,Semana 10,6918
2000,Semana 11,6647
2000,Semana 12,6566
2000,Semana 13,6846
2000,Semana 14,6793
2000,Semana 15,7011
2000,Semana 16,6793
2000,Semana 17,6553
2000,Semana 18,6627
2000,Semana 19,6305
2000,Semana 20,6392
2000,Semana 21,6052
2000,Semana 22,6630
2000,Semana 23,6147
2000,Semana 24,6538
2000,Semana 25,6324
2000,Semana 26,6309
2000,Semana 27,6385
2000,Semana 28,6071
2000,Semana 29,6359
2000,Semana 30,6152
2000,Semana 31,6355
2000,Semana 32,6200
2000,Semana 33,6489
2000,Semana 34,6119
2000,Semana 35,6056
2000,Semana 36,5964
2000,Semana 37,6077
2000,Semana 38,5693
2000,Semana 39,5899
2000,Semana 40,6260
2000,Semana 41,6382
2000,Semana 42,6603
2000,Semana 43,6614
2000,Semana 44,6342
2000,Semana 45,6742
2000,Semana 46,6795
2000,Semana 47,6949
2000,Semana 48,6833
2000,Semana 49,6624
2000,Semana 50,6779
2000,Semana 51,6969
2000,Semana 52,7206
2001,Semana 1,7465
2001,Semana 2,7281
2001,Semana 3,7138
2001,Semana 4,7435
2001,Semana 5,7359
2001,Semana 6,7147
2001,Semana 7,7239
2001,Semana 8,7141
2001,Semana 9,7425
2001,Semana 10,7431
2001,Semana 11,6829
2001,Semana 12,6784
2001,Semana 13,6591
2001,Semana 14,6714
2001,Semana 15,6629
2001,Semana 16,6654
2001,Semana 17,6796
2001,Semana 18,6665
2001,Semana 19,6769
2001,Semana 20,6763
2001,Semana 21,6752
2001,Semana 22,7196
2001,Semana 23,6560
2001,Semana 24,6256
2001,Semana 25,6539
2001,Semana 26,6951
2001,Semana 27,6763
2001,Semana 28,6474
2001,Semana 29,6129
2001,Semana 30,6380
2001,Semana 31,7179
2001,Semana 32,6796
2001,Semana 33,6546
2001,Semana 34,6544
2001,Semana 35,6299
2001,Semana 36,6147
2001,Semana 37,6020
2001,Semana 38,6058
2001,Semana 39,6172
2001,Semana 40,6436
2001,Semana 41,6395
2001,Semana 42,6356
2001,Semana 43,6516
2001,Semana 44,6411
2001,Semana 45,6634
2001,Semana 46,7319
2001,Semana 47,7275
2001,Semana 48,7351
2001,Semana 49,7327
2001,Semana 50,7551
2001,Semana 51,8002
2001,Semana 52,8716
2002,Semana 1,9120
2002,Semana 2,9076
2002,Semana 3,8968
2002,Semana 4,8798
2002,Semana 5,8845
2002,Semana 6,8518
2002,Semana 7,8186
2002,Semana 8,8079
2002,Semana 9,7874
2002,Semana 10,7821
2002,Semana 11,7545
2002,Semana 12,7442
2002,Semana 13,6847
2002,Semana 14,7205
2002,Semana 15,7029
2002,Semana 16,6995
2002,Semana 17,6999
2002,Semana 18,6629
2002,Semana 19,6466
2002,Semana 20,6617
2002,Semana 21,6562
2002,Semana 22,6385
2002,Semana 23,6270
2002,Semana 24,6802
2002,Semana 25,6981
2002,Semana 26,6698
2002,Semana 27,6470
2002,Semana 28,6217
2002,Semana 29,6504
2002,Semana 30,6525
2002,Semana 31,6477
2002,Semana 32,6068
2002,Semana 33,6116
2002,Semana 34,6043
2002,Semana 35,6044
2002,Semana 36,6042
2002,Semana 37,6034
2002,Semana 38,6220
2002,Semana 39,6180
2002,Semana 40,6267
2002,Semana 41,6390
2002,Semana 42,6611
2002,Semana 43,6646
2002,Semana 44,6615
2002,Semana 45,6682
2002,Semana 46,6790
2002,Semana 47,6699
2002,Semana 48,7133
2002,Semana 49,7222
2002,Semana 50,7453
2002,Semana 51,7497
2002,Semana 52,7438
2003,Semana 1,7783
2003,Semana 2,7673
2003,Semana 3,8410
2003,Semana 4,8248
2003,Semana 5,8051
2003,Semana 6,8127
2003,Semana 7,7658
2003,Semana 8,8005
2003,Semana 9,7694
2003,Semana 10,7559
2003,Semana 11,7207
2003,Semana 12,7164
2003,Semana 13,7206
2003,Semana 14,7077
2003,Semana 15,7194
2003,Semana 16,7061
2003,Semana 17,7062
2003,Semana 18,6899
2003,Semana 19,6690
2003,Semana 20,6887
2003,Semana 21,6750
2003,Semana 22,6914
2003,Semana 23,6805
2003,Semana 24,7690
2003,Semana 25,7727
2003,Semana 26,7363
2003,Semana 27,6650
2003,Semana 28,7120
2003,Semana 29,6855
2003,Semana 30,7188
2003,Semana 31,7777
2003,Semana 32,8654
2003,Semana 33,8774
2003,Semana 34,7003
2003,Semana 35,6564
2003,Semana 36,6268
2003,Semana 37,6198
2003,Semana 38,6612
2003,Semana 39,6473
2003,Semana 40,6230
2003,Semana 41,6551
2003,Semana 42,6650
2003,Semana 43,6822
2003,Semana 44,7139
2003,Semana 45,7496
2003,Semana 46,7598
2003,Semana 47,7444
2003,Semana 48,7680
2003,Semana 49,7977
2003,Semana 50,8085
2003,Semana 51,8031
2003,Semana 52,8181
2004,Semana 1,8684
2004,Semana 2,8649
2004,Semana 3,8053
2004,Semana 4,8005
2004,Semana 5,7669
2004,Semana 6,7597
2004,Semana 7,7339
2004,Semana 8,7481
2004,Semana 9,7579
2004,Semana 10,7952
2004,Semana 11,7751
2004,Semana 12,7417
2004,Semana 13,7171
2004,Semana 14,7211
2004,Semana 15,7070
2004,Semana 16,7278
2004,Semana 17,7029
2004,Semana 18,6832
2004,Semana 19,6827
2004,Semana 20,6745
2004,Semana 21,6927
2004,Semana 22,6624
2004,Semana 23,6512
2004,Semana 24,6590
2004,Semana 25,6421
2004,Semana 26,6395
2004,Semana 27,6868
2004,Semana 28,6223
2004,Semana 29,6274
2004,Semana 30,6738
2004,Semana 31,7034
2004,Semana 32,6693
2004,Semana 33,6507
2004,Semana 34,6296
2004,Semana 35,6381
2004,Semana 36,6277
2004,Semana 37,6235
2004,Semana 38,6158
2004,Semana 39,6200
2004,Semana 40,6296
2004,Semana 41,6609
2004,Semana 42,6621
2004,Semana 43,7021
2004,Semana 44,6633
2004,Semana 45,7067
2004,Semana 46,6892
2004,Semana 47,7338
2004,Semana 48,7389
2004,Semana 49,7513
2004,Semana 50,7537
2004,Semana 51,7837
2004,Semana 52,8296
2004,Semana 53,9596
2005,Semana 1,10846
2005,Semana 2,11299
2005,Semana 3,11057
2005,Semana 4,10154
2005,Semana 5,10247
2005,Semana 6,9599
2005,Semana 7,8866
2005,Semana 8,8823
2005,Semana 9,8567
2005,Semana 10,9000
2005,Semana 11,8595
2005,Semana 12,7894
2005,Semana 13,7536
2005,Semana 14,7113
2005,Semana 15,7004
2005,Semana 16,7022
2005,Semana 17,6957
2005,Semana 18,6816
2005,Semana 19,6525
2005,Semana 20,6627
2005,Semana 21,6787
2005,Semana 22,6528
2005,Semana 23,6516
2005,Semana 24,6578
2005,Semana 25,6908
2005,Semana 26,6570
2005,Semana 27,6271
2005,Semana 28,6489
2005,Semana 29,6423
2005,Semana 30,6369
2005,Semana 31,6233
2005,Semana 32,6374
2005,Semana 33,6096
2005,Semana 34,6079
2005,Semana 35,6321
2005,Semana 36,5942
2005,Semana 37,6143
2005,Semana 38,6006
2005,Semana 39,6338
2005,Semana 40,6375
2005,Semana 41,6565
2005,Semana 42,6533
2005,Semana 43,6665
2005,Semana 44,6452
2005,Semana 45,6784
2005,Semana 46,7051
2005,Semana 47,7025
2005,Semana 48,7528
2005,Semana 49,7153
2005,Semana 50,7493
2005,Semana 51,7833
2005,Semana 52,8245
2006,Semana 1,8240
2006,Semana 2,7923
2006,Semana 3,7936
2006,Semana 4,7665
2006,Semana 5,7936
2006,Semana 6,7862
2006,Semana 7,7978
2006,Semana 8,7577
2006,Semana 9,7893
2006,Semana 10,7956
2006,Semana 11,7597
2006,Semana 12,7300
2006,Semana 13,7248
2006,Semana 14,7014
2006,Semana 15,6869
2006,Semana 16,6735
2006,Semana 17,6851
2006,Semana 18,6776
2006,Semana 19,6699
2006,Semana 20,6865
2006,Semana 21,6523
2006,Semana 22,6484
2006,Semana 23,6817
2006,Semana 24,6588
2006,Semana 25,6629
2006,Semana 26,6600
2006,Semana 27,6630
2006,Semana 28,7154
2006,Semana 29,7433
2006,Semana 30,7349
2006,Semana 31,6883
2006,Semana 32,6554
2006,Semana 33,6142
2006,Semana 34,6449
2006,Semana 35,6586
2006,Semana 36,6755
2006,Semana 37,6275
2006,Semana 38,6389
2006,Semana 39,6475
2006,Semana 40,6342
2006,Semana 41,6572
2006,Semana 42,6686
2006,Semana 43,6841
2006,Semana 44,6852
2006,Semana 45,6726
2006,Semana 46,6935
2006,Semana 47,7254
2006,Semana 48,7044
2006,Semana 49,7248
2006,Semana 50,7593
2006,Semana 51,7909
2006,Semana 52,8529
2007,Semana 1,8742
2007,Semana 2,8807
2007,Semana 3,8477
2007,Semana 4,8505
2007,Semana 5,9021
2007,Semana 6,9198
2007,Semana 7,8466
2007,Semana 8,8009
2007,Semana 9,8016
2007,Semana 10,7503
2007,Semana 11,7396
2007,Semana 12,7704
2007,Semana 13,7756
2007,Semana 14,7628
2007,Semana 15,7568
2007,Semana 16,7460
2007,Semana 17,7029
2007,Semana 18,6820
2007,Semana 19,7162
2007,Semana 20,7086
2007,Semana 21,6711
2007,Semana 22,6772
2007,Semana 23,6844
2007,Semana 24,6789
2007,Semana 25,6717
2007,Semana 26,6565
2007,Semana 27,6723
2007,Semana 28,6680
2007,Semana 29,6623
2007,Semana 30,6715
2007,Semana 31,7268
2007,Semana 32,6608
2007,Semana 33,6418
2007,Semana 34,6304
2007,Semana 35,6492
2007,Semana 36,6396
2007,Semana 37,6557
2007,Semana 38,6243
2007,Semana 39,6460
2007,Semana 40,6732
2007,Semana 41,6612
2007,Semana 42,7109
2007,Semana 43,6995
2007,Semana 44,7249
2007,Semana 45,7420
2007,Semana 46,7543
2007,Semana 47,7837
2007,Semana 48,7803
2007,Semana 49,7934
2007,Semana 50,7861
2007,Semana 51,8473
2007,Semana 52,8287
2008,Semana 1,9001
2008,Semana 2,8982
2008,Semana 3,8690
2008,Semana 4,8150
2008,Semana 5,8095
2008,Semana 6,8283
2008,Semana 7,8347
2008,Semana 8,8188
2008,Semana 9,8190
2008,Semana 10,7796
2008,Semana 11,7908
2008,Semana 12,7518
2008,Semana 13,7731
2008,Semana 14,7738
2008,Semana 15,7496
2008,Semana 16,7347
2008,Semana 17,7322
2008,Semana 18,6981
2008,Semana 19,7075
2008,Semana 20,6527
