Año,Periodo,Cifra total de muertos por Covid-19 en España,Muertos diarios
2021,Día 15 de febrero,65449,0
2021,Día 16 de febrero,65979,530
2021,Día 17 de febrero,66316,337
2021,Día 18 de febrero,66704,388
2021,Día 19 de febrero,67101,397
2021,Día 20 de febrero,67101,0
2021,Día 21 de febrero,67101,0
2021,Día 22 de febrero,67636,535
2021,Día 23 de febrero,68079,443
2021,Día 24 de febrero,68468,389
2021,Día 25 de febrero,68813,345
2021,Día 26 de febrero,69142,329
2021,Día 27 de febrero,69142,0
2021,Día 28 de febrero,69142,0
2021,Día 1 de marzo,69609,467
2021,Día 2 de marzo,69801,192
2021,Día 3 de marzo,70247,446
2021,Día 4 de marzo,70501,254
2021,Día 5 de marzo,71138,637
2021,Día 6 de marzo,71138,0
2021,Día 7 de marzo,71138,0
2021,Día 8 de marzo,71436,298
2021,Día 9 de marzo,71727,291
2021,Día 10 de marzo,71919,192
2021,Día 11 de marzo,72085,166
2021,Día 12 de marzo,72258,173
2021,Día 13 de marzo,72258,0
2021,Día 14 de marzo,72258,0
2021,Día 15 de marzo,72424,166
2021,Día 16 de marzo,72565,141
2021,Día 17 de marzo,72793,228
2021,Día 18 de marzo,72910,117
2021,Día 19 de marzo,72910,0
2021,Día 20 de marzo,72910,0
2021,Día 21 de marzo,72910,0
2021,Día 22 de marzo,73543,633
2021,Día 23 de marzo,73744,201
2021,Día 24 de marzo,74064,320
2021,Día 25 de marzo,74420,356
2021,Día 26 de marzo,75010,590
2021,Día 27 de marzo,75010,0
2021,Día 28 de marzo,75010,0
2021,Día 29 de marzo,75199,189
2021,Día 30 de marzo,75305,106
2021,Día 31 de marzo,75459,154
2021,Día 1 de abril,75541,82
2021,Día 2 de abril,75541,0
2021,Día 3 de abril,75698,157
2021,Día 4 de abril,75698,0
2021,Día 5 de abril,75783,85
2021,Día 6 de abril,75911,128
2021,Día 7 de abril,76037,126
2021,Día 8 de abril,76179,142
2021,Día 9 de abril,76328,149
2021,Día 10 de abril,76328,0
2021,Día 11 de abril,76328,0
2021,Día 12 de abril,76525,197
2021,Día 13 de abril,76625,100
2021,Día 14 de abril,76756,131
2021,Día 15 de abril,76882,126
2021,Día 16 de abril,76981,99
2021,Día 17 de abril,76981,0
2021,Día 18 de abril,76981,0
2021,Día 19 de abril,77102,121
2021,Día 20 de abril,77216,114
2021,Día 21 de abril,77364,148
2021,Día 22 de abril,77496,132
2021,Día 23 de abril,77591,95
2021,Día 24 de abril,77591,0
2021,Día 25 de abril,77591,0
2021,Día 26 de abril,77738,147
2021,Día 27 de abril,77855,117
2021,Día 28 de abril,77943,88
2021,Día 29 de abril,78080,137
2021,Día 30 de abril,78216,136
2021,Día 1 de mayo,78216,0
2021,Día 2 de mayo,78216,0
2021,Día 3 de mayo,78293,77
2021,Día 4 de mayo,78399,106
2021,Día 5 de mayo,78566,167
2021,Día 6 de mayo,78726,160
2021,Día 7 de mayo,78792,66
2021,Día 8 de mayo,78792,0
2021,Día 9 de mayo,78792,0
2021,Día 10 de mayo,78895,103
2021,Día 11 de mayo,79100,205
2021,Día 12 de mayo,79208,108
2021,Día 13 de mayo,79281,73
2021,Día 14 de mayo,79339,58
2021,Día 15 de mayo,79339,0
2021,Día 16 de mayo,79339,0
2021,Día 17 de mayo,79432,93
2021,Día 18 de mayo,79502,70
2021,Día 19 de mayo,79568,66
2021,Día 20 de mayo,79601,33
2021,Día 21 de mayo,79620,19
2021,Día 22 de mayo,79620,0
2021,Día 23 de mayo,79620,0
2021,Día 24 de mayo,79711,91
2021,Día 25 de mayo,79801,90
2021,Día 26 de mayo,79855,54
2021,Día 27 de mayo,79888,33
2021,Día 28 de mayo,79905,17
2021,Día 29 de mayo,79905,0
2021,Día 30 de mayo,79905,0
2021,Día 31 de mayo,79953,48
2021,Día 1 de junio,79983,30
2021,Día 2 de junio,80049,66
2021,Día 3 de junio,80099,50
2021,Día 4 de junio,80196,97
2021,Día 5 de junio,80196,0
2021,Día 6 de junio,80196,0
2021,Día 7 de junio,80236,40
2021,Día 8 de junio,80309,73
2021,Día 9 de junio,80332,23
2021,Día 10 de junio,80465,133
2021,Día 11 de junio,80501,36
2021,Día 12 de junio,80501,0
2021,Día 13 de junio,80501,0
2021,Día 14 de junio,80517,16
2021,Día 15 de junio,80517,0
2021,Día 16 de junio,80615,98
2021,Día 17 de junio,80634,19
2021,Día 18 de junio,80652,18
2021,Día 19 de junio,80652,0
2021,Día 20 de junio,80652,0
2021,Día 21 de junio,80689,37
2021,Día 22 de junio,80719,30
2021,Día 23 de junio,80748,29
2021,Día 24 de junio,80766,18
2021,Día 25 de junio,80779,13
2021,Día 26 de junio,80779,0
2021,Día 27 de junio,80779,0
2021,Día 28 de junio,80789,10
2021,Día 29 de junio,80829,40
2021,Día 30 de junio,80875,46
2021,Día 1 de julio,80883,8
2021,Día 2 de julio,80911,28
2021,Día 3 de julio,80911,0
2021,Día 4 de julio,80911,0
2021,Día 5 de julio,80934,23
2021,Día 6 de julio,80952,18
2021,Día 7 de julio,80969,17
2021,Día 8 de julio,80997,28
2021,Día 9 de julio,81003,6
2021,Día 10 de julio,81003,0
2021,Día 11 de julio,81003,0
2021,Día 12 de julio,81020,17
2021,Día 13 de julio,81033,13
2021,Día 14 de julio,81043,10
2021,Día 15 de julio,81084,41
2021,Día 16 de julio,81096,12
2021,Día 17 de julio,81096,0
2021,Día 18 de julio,81096,0
2021,Día 19 de julio,81119,23
2021,Día 20 de julio,81148,29
2021,Día 21 de julio,81166,18
2021,Día 22 de julio,81194,28
2021,Día 23 de julio,81221,27
2021,Día 24 de julio,81221,0
2021,Día 25 de julio,81221,0
2021,Día 26 de julio,81268,47
2021,Día 27 de julio,81323,55
2021,Día 28 de julio,81396,73
2021,Día 29 de julio,81442,46
2021,Día 30 de julio,81486,44
2021,Día 31 de julio,81486,0
2021,Día 1 de agosto,81486,0
2021,Día 2 de agosto,81643,157
2021,Día 3 de agosto,81773,130
2021,Día 4 de agosto,81844,71
2021,Día 5 de agosto,81931,87
2021,Día 6 de agosto,82006,75
2021,Día 7 de agosto,82006,0
2021,Día 8 de agosto,82006,0
2021,Día 9 de agosto,82125,119
2021,Día 10 de agosto,82227,102
2021,Día 11 de agosto,82320,93
2021,Día 12 de agosto,82407,87
2021,Día 13 de agosto,82470,63
2021,Día 14 de agosto,82470,0
2021,Día 15 de agosto,82470,0
2021,Día 16 de agosto,82595,125
2021,Día 17 de agosto,82739,144
2021,Día 18 de agosto,82883,144
2021,Día 19 de agosto,83004,121
2021,Día 20 de agosto,83136,132
2021,Día 21 de agosto,83136,0
2021,Día 22 de agosto,83136,0
2021,Día 23 de agosto,83337,201
2021,Día 24 de agosto,83527,190
2021,Día 25 de agosto,83690,163
2021,Día 26 de agosto,83861,171
2021,Día 27 de agosto,84000,139
2021,Día 28 de agosto,84000,0
2021,Día 29 de agosto,84000,0
2021,Día 30 de agosto,84146,146
2021,Día 31 de agosto,84340,194
2021,Día 1 de septiembre,84472,132
2021,Día 2 de septiembre,84640,168
2021,Día 3 de septiembre,84795,155
2021,Día 4 de septiembre,84795,0
2021,Día 5 de septiembre,84795,0
2021,Día 6 de septiembre,84928,133
2021,Día 7 de septiembre,85066,138
2021,Día 8 de septiembre,85147,81
2021,Día 9 de septiembre,85218,71
2021,Día 10 de septiembre,85290,72
2021,Día 11 de septiembre,85290,0
2021,Día 12 de septiembre,85290,0
2021,Día 13 de septiembre,85393,103
2021,Día 14 de septiembre,85548,155
2021,Día 15 de septiembre,85638,90
2021,Día 16 de septiembre,85739,101
2021,Día 17 de septiembre,85783,44
2021,Día 18 de septiembre,85783,0
2021,Día 19 de septiembre,85783,0
2021,Día 20 de septiembre,85901,118
2021,Día 21 de septiembre,85983,82
2021,Día 22 de septiembre,86085,102
2021,Día 23 de septiembre,86185,100
2021,Día 24 de septiembre,86229,44
2021,Día 25 de septiembre,86229,0
2021,Día 26 de septiembre,86229,0
2021,Día 27 de septiembre,86298,69
2021,Día 28 de septiembre,86358,60
2021,Día 29 de septiembre,86397,39
2021,Día 30 de septiembre,86415,18
2021,Día 1 de octubre,86463,48
2021,Día 2 de octubre,86463,0
2021,Día 3 de octubre,86463,0
2021,Día 4 de octubre,86527,64
2021,Día 5 de octubre,86621,94
2021,Día 6 de octubre,86678,57
2021,Día 7 de octubre,86701,23
2021,Día 8 de octubre,86778,77
2021,Día 9 de octubre,86778,0
2021,Día 10 de octubre,86778,0
2021,Día 11 de octubre,86827,49
2021,Día 12 de octubre,86827,0
2021,Día 13 de octubre,86869,42
2021,Día 14 de octubre,86917,48
2021,Día 15 de octubre,86974,57
2021,Día 16 de octubre,86974,0
2021,Día 17 de octubre,86974,0
2021,Día 18 de octubre,87030,56
2021,Día 19 de octubre,87051,21
2021,Día 20 de octubre,87082,31
2021,Día 21 de octubre,87102,20
2021,Día 22 de octubre,87132,30
2021,Día 23 de octubre,87132,0
2021,Día 24 de octubre,87132,0
2021,Día 25 de octubre,87186,54
2021,Día 26 de octubre,87238,52
2021,Día 27 de octubre,87289,51
2021,Día 28 de octubre,87322,33
2021,Día 29 de octubre,87368,46
2021,Día 30 de octubre,87368,0
2021,Día 31 de octubre,87368,0
2021,Día 1 de noviembre,87368,0
2021,Día 2 de noviembre,87423,55
2021,Día 3 de noviembre,87462,39
2021,Día 4 de noviembre,87477,15
2021,Día 5 de noviembre,87504,27
2021,Día 6 de noviembre,87504,0
2021,Día 7 de noviembre,87504,0
2021,Día 8 de noviembre,87558,54
2021,Día 9 de noviembre,87558,0
2021,Día 10 de noviembre,87617,59
2021,Día 11 de noviembre,87647,30
2021,Día 12 de noviembre,87673,26
2021,Día 13 de noviembre,87673,0
2021,Día 14 de noviembre,87673,0
2021,Día 15 de noviembre,87716,43
2021,Día 16 de noviembre,87745,29
2021,Día 17 de noviembre,87775,30
2021,Día 18 de noviembre,87804,29
2021,Día 19 de noviembre,87810,6
2021,Día 20 de noviembre,87810,0
2021,Día 21 de noviembre,87810,0
2021,Día 22 de noviembre,87832,22
2021,Día 23 de noviembre,87866,34
2021,Día 24 de noviembre,87904,38
2021,Día 25 de noviembre,87931,27
2021,Día 26 de noviembre,87955,24
2021,Día 27 de noviembre,87955,0
2021,Día 28 de noviembre,87955,0
2021,Día 29 de noviembre,88008,53
2021,Día 30 de noviembre,88052,44
2021,Día 1 de diciembre,88080,28
2021,Día 2 de diciembre,88122,42
2021,Día 3 de diciembre,88159,37
2021,Día 4 de diciembre,88159,0
2021,Día 5 de diciembre,88159,0
2021,Día 6 de diciembre,88159,0
2021,Día 7 de diciembre,88237,78
2021,Día 8 de diciembre,88237,0
2021,Día 9 de diciembre,88321,84
2021,Día 10 de diciembre,88381,60
2021,Día 11 de diciembre,88381,0
2021,Día 12 de diciembre,88381,0
2021,Día 13 de diciembre,88484,103
2021,Día 14 de diciembre,88542,58
2021,Día 15 de diciembre,88619,77
2021,Día 16 de diciembre,88667,48
2021,Día 17 de diciembre,88708,41
2021,Día 18 de diciembre,88708,0
2021,Día 19 de diciembre,88708,0
2021,Día 20 de diciembre,88793,85
2021,Día 21 de diciembre,88887,94
2021,Día 22 de diciembre,88937,50
2021,Día 23 de diciembre,89019,82
2021,Día 24 de diciembre,89019,0
2021,Día 25 de diciembre,89019,0
2021,Día 26 de diciembre,89019,0
2021,Día 27 de diciembre,89139,120
2021,Día 28 de diciembre,89253,114
2021,Día 29 de diciembre,89331,78
2021,Día 30 de diciembre,89405,74
2021,Día 31 de diciembre,89405,0
2022,Día 1 de enero,89405,0
2022,Día 2 de enero,89405,0
2022,Día 3 de enero,89573,168
2022,Día 4 de enero,89689,116
2022,Día 5 de enero,89837,148
2022,Día 6 de enero,89837,0
2022,Día 7 de enero,89934,97
2022,Día 8 de enero,89934,0
2022,Día 9 de enero,89934,0
2022,Día 10 de enero,90136,202
2022,Día 11 de enero,90383,247
2022,Día 12 de enero,90508,125
2022,Día 13 de enero,90620,112
2022,Día 14 de enero,90759,139
2022,Día 15 de enero,90759,0
2022,Día 16 de enero,90759,0
2022,Día 17 de enero,90993,234
2022,Día 18 de enero,91277,284
2022,Día 19 de enero,91437,160
2022,Día 20 de enero,91599,162
2022,Día 21 de enero,91741,142
2022,Día 22 de enero,91741,0
2022,Día 23 de enero,91741,0
2022,Día 24 de enero,91994,253
2022,Día 25 de enero,92376,382
2022,Día 26 de enero,92591,215
2022,Día 27 de enero,92767,176
2022,Día 28 de enero,92966,199
2022,Día 29 de enero,92966,0
2022,Día 30 de enero,92966,0
2022,Día 31 de enero,93225,259
2022,Día 1 de febrero,93633,408
2022,Día 2 de febrero,93857,224
2022,Día 3 de febrero,94040,183
2022,Día 4 de febrero,94235,195
2022,Día 5 de febrero,94235,0
2022,Día 6 de febrero,94235,0
2022,Día 7 de febrero,94570,335
2022,Día 8 de febrero,94931,361
2022,Día 9 de febrero,95213,282
2022,Día 10 de febrero,95606,393
2022,Día 11 de febrero,95995,389
2022,Día 12 de febrero,95995,0
2022,Día 13 de febrero,95995,0
2022,Día 14 de febrero,96596,601
2022,Día 15 de febrero,96906,310
2022,Día 16 de febrero,97350,444
2022,Día 17 de febrero,97710,360
2022,Día 18 de febrero,97998,288
2022,Día 19 de febrero,97998,0
2022,Día 20 de febrero,97998,0
2022,Día 21 de febrero,98462,464
2022,Día 22 de febrero,98635,173
2022,Día 23 de febrero,98936,301
2022,Día 24 de febrero,99162,226
2022,Día 25 de febrero,99410,248
2022,Día 26 de febrero,99410,0
2022,Día 27 de febrero,99410,0
2022,Día 28 de febrero,99410,0
2022,Día 1 de marzo,99883,473
2022,Día 2 de marzo,100037,154
2022,Día 3 de marzo,100239,202
2022,Día 4 de marzo,100413,174
2022,Día 5 de marzo,100413,0
2022,Día 6 de marzo,100413,0
2022,Día 7 de marzo,100574,161
2022,Día 8 de marzo,100859,285
2022,Día 9 de marzo,100992,133
2022,Día 10 de marzo,101077,85
2022,Día 11 de marzo,101135,58
2022,Día 12 de marzo,101135,0
2022,Día 13 de marzo,101135,0
2022,Día 14 de marzo,101135,0
2022,Día 15 de marzo,101416,281
2022,Día 16 de marzo,101416,0
2022,Día 17 de marzo,101416,0
2022,Día 18 de marzo,101703,287
2022,Día 19 de marzo,101703,0
2022,Día 20 de marzo,101703,0
2022,Día 21 de marzo,101703,0
2022,Día 22 de marzo,102053,350
2022,Día 23 de marzo,102053,0
2022,Día 24 de marzo,102053,0
2022,Día 25 de marzo,102392,339
2022,Día 26 de marzo,102392,0
2022,Día 27 de marzo,102392,0
2022,Día 28 de marzo,102392,0
2022,Día 29 de marzo,102392,0
2022,Día 30 de marzo,102392,0
2022,Día 31 de marzo,102392,0
2022,Día 1 de abril,102541,149
2022,Día 2 de abril,102541,0
2022,Día 3 de abril,102541,0
2022,Día 4 de abril,102541,0
2022,Día 5 de abril,102747,206
2022,Día 6 de abril,102747,0
2022,Día 7 de abril,102747,0
2022,Día 8 de abril,103104,357
2022,Día 9 de abril,103104,0
2022,Día 10 de abril,103104,0
2022,Día 11 de abril,103104,0
2022,Día 12 de abril,103266,162
2022,Día 13 de abril,103266,0
2022,Día 14 de abril,103266,0
2022,Día 15 de abril,103266,0
2022,Día 16 de abril,103266,0
2022,Día 17 de abril,103266,0
2022,Día 18 de abril,103266,0
2022,Día 19 de abril,103721,455
2022,Día 22 de abril,103908,187
2022,Día 26 de abril,104227,319
2022,Día 29 de abril,104456,229
2022,Día 3 de mayo,104668,212
2022,Día 6 de mayo,104869,201
2022,Día 10 de mayo,105123,254
2022,Día 13 de mayo,105444,321
2022,Día 17 de mayo,105642,198
2022,Día 20 de mayo,105947,305
2022,Día 24 de mayo,106105,158
2022,Día 27 de mayo,106341,236
2022,Día 31 de mayo,106493,152
2022,Día 3 de junio,106797,304
2022,Día 7 de junio,106914,117
2022,Día 10 de junio,107108,194
2022,Día 14 de junio,107239,131
2022,Día 17 de junio,107482,243
2022,Día 21 de junio,107604,122
2022,Día 24 de junio,107799,195
